ID_Cliente,Data_Adesao,Plano,Valor_Mensal,Logins_Mensais,Tickets_Suporte,Metodo_Pagamento,Meses_Permanencia,Churn,LTV
CUST-00001,2025-09-14,Basic,29.9,5,4,Cartão de Crédito,17,0,508.3
CUST-00002,2024-11-27,Enterprise,249.9,2,7,Pix,3,1,749.7
CUST-00003,2024-05-14,Pro,79.9,18,8,Boleto,15,0,1198.5
CUST-00004,2024-06-09,Basic,29.9,30,2,Boleto,24,0,717.6
CUST-00005,2025-03-01,Pro,79.9,24,1,Boleto,16,0,1278.4
CUST-00006,2025-04-19,Basic,29.9,4,4,Pix,5,1,149.5
CUST-00007,2024-11-16,Pro,79.9,12,0,Cartão de Crédito,13,0,1038.7
CUST-00008,2025-12-30,Enterprise,249.9,4,6,Boleto,18,0,4498.2
CUST-00009,2025-04-30,Basic,29.9,2,1,Boleto,8,1,239.2
CUST-00010,2024-08-30,Enterprise,249.9,4,4,Boleto,4,1,999.6
CUST-00011,2025-10-08,Pro,79.9,21,4,Boleto,13,0,1038.7
CUST-00012,2024-11-11,Enterprise,249.9,25,6,Cartão de Crédito,17,0,4248.3
CUST-00013,2024-11-26,Basic,29.9,23,4,Boleto,24,0,717.6
CUST-00014,2025-06-01,Basic,29.9,29,9,Boleto,18,0,538.2
CUST-00015,2024-08-21,Basic,29.9,6,3,Cartão de Crédito,16,0,478.4
CUST-00016,2024-12-27,Enterprise,249.9,28,1,Boleto,14,0,3498.6
CUST-00017,2024-11-11,Basic,29.9,4,2,Cartão de Crédito,1,1,29.9
CUST-00018,2025-06-12,Pro,79.9,1,6,Pix,18,0,1438.2
CUST-00019,2024-12-16,Enterprise,249.9,1,8,Boleto,9,1,2249.1
CUST-00020,2024-03-10,Enterprise,249.9,6,8,Cartão de Crédito,8,1,1999.2
CUST-00021,2025-11-13,Pro,79.9,13,1,Pix,14,0,1118.6
CUST-00022,2025-01-29,Enterprise,249.9,16,0,Pix,23,0,5747.7
CUST-00023,2025-01-25,Pro,79.9,1,7,Boleto,6,1,479.4
CUST-00024,2024-09-01,Pro,79.9,0,6,Boleto,7,1,559.3
CUST-00025,2024-01-26,Enterprise,249.9,4,7,Boleto,16,0,3998.4
CUST-00026,2025-11-15,Pro,79.9,2,10,Pix,9,1,719.1
CUST-00027,2025-05-16,Pro,79.9,5,1,Cartão de Crédito,16,0,1278.4
CUST-00028,2024-10-22,Basic,29.9,14,4,Pix,16,0,478.4
CUST-00029,2024-06-02,Basic,29.9,26,7,Cartão de Crédito,24,0,717.6
CUST-00030,2025-06-05,Pro,79.9,3,0,Pix,15,0,1198.5
CUST-00031,2025-10-18,Enterprise,249.9,26,1,Pix,20,0,4998.0
CUST-00032,2025-09-09,Pro,79.9,18,3,Cartão de Crédito,18,0,1438.2
CUST-00033,2024-01-06,Basic,29.9,1,2,Cartão de Crédito,19,0,568.1
CUST-00034,2024-10-09,Pro,79.9,19,1,Pix,14,0,1118.6
CUST-00035,2024-02-21,Enterprise,249.9,24,8,Cartão de Crédito,4,1,999.6
CUST-00036,2024-08-08,Pro,79.9,14,2,Cartão de Crédito,19,0,1518.1
CUST-00037,2025-05-08,Pro,79.9,12,2,Pix,22,0,1757.8
CUST-00038,2024-11-09,Enterprise,249.9,27,8,Boleto,18,0,4498.2
CUST-00039,2024-02-13,Enterprise,249.9,2,5,Pix,13,0,3248.7
CUST-00040,2024-07-15,Enterprise,249.9,28,5,Boleto,16,0,3998.4
CUST-00041,2025-03-29,Basic,29.9,24,5,Boleto,23,0,687.7
CUST-00042,2025-04-21,Enterprise,249.9,29,1,Boleto,9,1,2249.1
CUST-00043,2025-10-23,Enterprise,249.9,12,7,Cartão de Crédito,13,0,3248.7
CUST-00044,2024-06-02,Pro,79.9,0,4,Cartão de Crédito,2,1,159.8
CUST-00045,2025-05-07,Pro,79.9,29,5,Boleto,20,0,1598.0
CUST-00046,2025-06-25,Basic,29.9,9,4,Cartão de Crédito,16,0,478.4
CUST-00047,2024-03-17,Basic,29.9,25,8,Boleto,20,0,598.0
CUST-00048,2024-08-25,Enterprise,249.9,18,0,Cartão de Crédito,6,1,1499.4
CUST-00049,2024-11-14,Enterprise,249.9,3,8,Cartão de Crédito,5,1,1249.5
CUST-00050,2025-12-28,Enterprise,249.9,12,1,Pix,20,0,4998.0
CUST-00051,2024-02-28,Basic,29.9,17,4,Boleto,21,0,627.9
CUST-00052,2024-12-23,Pro,79.9,29,1,Cartão de Crédito,16,0,1278.4
CUST-00053,2025-03-20,Enterprise,249.9,7,2,Pix,23,0,5747.7
CUST-00054,2025-09-28,Pro,79.9,1,0,Pix,18,0,1438.2
CUST-00055,2024-11-06,Enterprise,249.9,18,6,Boleto,2,1,499.8
CUST-00056,2024-05-03,Basic,29.9,10,7,Pix,23,0,687.7
CUST-00057,2025-01-02,Basic,29.9,28,10,Boleto,13,0,388.7
CUST-00058,2025-01-11,Enterprise,249.9,12,1,Cartão de Crédito,16,0,3998.4
CUST-00059,2024-03-30,Pro,79.9,3,6,Pix,1,1,79.9
CUST-00060,2024-04-18,Pro,79.9,12,7,Cartão de Crédito,14,0,1118.6
CUST-00061,2025-11-26,Enterprise,249.9,20,3,Cartão de Crédito,16,0,3998.4
CUST-00062,2025-12-28,Pro,79.9,18,0,Pix,13,0,1038.7
CUST-00063,2025-06-02,Enterprise,249.9,24,1,Cartão de Crédito,23,0,5747.7
CUST-00064,2025-06-20,Enterprise,249.9,6,4,Cartão de Crédito,16,0,3998.4
CUST-00065,2025-04-29,Pro,79.9,7,4,Pix,5,1,399.5
CUST-00066,2024-04-12,Enterprise,249.9,3,8,Boleto,9,1,2249.1
CUST-00067,2024-01-15,Basic,29.9,14,7,Pix,23,0,687.7
CUST-00068,2024-12-29,Basic,29.9,20,5,Boleto,24,0,717.6
CUST-00069,2025-11-13,Pro,79.9,22,4,Boleto,17,0,1358.3
CUST-00070,2024-03-31,Basic,29.9,5,0,Pix,21,0,627.9
CUST-00071,2024-02-18,Enterprise,249.9,2,8,Pix,17,0,4248.3
CUST-00072,2025-06-22,Enterprise,249.9,9,10,Cartão de Crédito,18,0,4498.2
CUST-00073,2025-08-08,Enterprise,249.9,15,2,Cartão de Crédito,23,0,5747.7
CUST-00074,2025-11-26,Enterprise,249.9,26,1,Cartão de Crédito,18,0,4498.2
CUST-00075,2025-11-17,Pro,79.9,30,5,Pix,17,0,1358.3
CUST-00076,2024-02-20,Enterprise,249.9,0,4,Pix,9,1,2249.1
CUST-00077,2024-06-01,Basic,29.9,15,1,Cartão de Crédito,16,0,478.4
CUST-00078,2025-04-05,Basic,29.9,22,3,Boleto,23,0,687.7
CUST-00079,2025-12-17,Pro,79.9,11,0,Pix,24,0,1917.6
CUST-00080,2024-05-17,Pro,79.9,19,0,Pix,18,0,1438.2
CUST-00081,2025-10-12,Enterprise,249.9,6,7,Boleto,2,1,499.8
CUST-00082,2024-01-26,Pro,79.9,25,8,Boleto,24,0,1917.6
CUST-00083,2025-05-29,Enterprise,249.9,30,3,Cartão de Crédito,24,0,5997.6
CUST-00084,2024-07-19,Basic,29.9,21,1,Cartão de Crédito,9,1,269.1
CUST-00085,2024-05-31,Enterprise,249.9,6,3,Cartão de Crédito,16,0,3998.4
CUST-00086,2024-09-29,Basic,29.9,7,10,Cartão de Crédito,5,1,149.5
CUST-00087,2025-09-04,Pro,79.9,7,8,Boleto,23,0,1837.7
CUST-00088,2024-09-03,Pro,79.9,8,2,Boleto,13,0,1038.7
CUST-00089,2025-10-23,Pro,79.9,11,5,Pix,20,0,1598.0
CUST-00090,2025-03-27,Basic,29.9,3,10,Cartão de Crédito,10,1,299.0
CUST-00091,2025-04-26,Pro,79.9,20,3,Pix,9,1,719.1
CUST-00092,2025-08-01,Pro,79.9,7,10,Cartão de Crédito,15,0,1198.5
CUST-00093,2025-04-25,Enterprise,249.9,13,7,Pix,15,0,3748.5
CUST-00094,2024-10-01,Pro,79.9,28,0,Boleto,21,0,1677.9
CUST-00095,2024-02-17,Enterprise,249.9,3,2,Pix,22,0,5497.8
CUST-00096,2024-11-11,Enterprise,249.9,24,9,Boleto,4,1,999.6
CUST-00097,2025-05-14,Basic,29.9,21,7,Cartão de Crédito,18,0,538.2
CUST-00098,2024-03-06,Basic,29.9,15,2,Boleto,23,0,687.7
CUST-00099,2024-05-22,Enterprise,249.9,9,0,Cartão de Crédito,13,0,3248.7
